"","Pixel_Number","Log_Frequency","Log_Brightness_Temperature","Fit","Concave/Convex"
"66","66","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56441059  2.5590695   4.49233315 -3.21105061  1.40749433  3.77891545]","[-2.50485904  7.98441755]","Convex"
"67","67","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55365522  2.50178325  4.45528054 -3.21872636  1.3682535   3.74185675]","[-2.4922134   7.92066716]","Convex"
"68","68","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54791778  2.49549418  4.42952129 -3.21795281  1.35359198  3.7166229 ]","[-2.48343848  7.88547845]","Convex"
"69","69","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54308046  2.47201132  4.46820469 -3.22370594  1.37566439  3.75428322]","[-2.497265    7.93145157]","Convex"
"70","70","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54534717  2.46500408  4.43057344 -3.22150136  1.35633503  3.71749678]","[-2.48318791  7.87951626]","Convex"
"71","71","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53961783  2.43875002  4.4505114  -3.22407941  1.3675206   3.73651822]","[-2.48959203  7.89844019]","Convex"
"72","72","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55949088  2.52798033  4.47275787 -3.22121965  1.38869854  3.7589849 ]","[-2.4998108  7.9541343]","Convex"
"73","73","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55024105  2.47076746  4.441206   -3.22356085  1.36204721  3.72764402]","[-2.48723855  7.89569126]","Convex"
"74","74","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55490426  2.47742485  4.43727931 -3.22469997  1.37300344  3.72295457]","[-2.48593714  7.89446038]","Convex"
"75","75","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54730029  2.43318237  4.43435128 -3.2262566   1.35161914  3.72029784]","[-2.48367049  7.87528642]","Convex"
"76","76","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54246833  2.43053386  4.43794492 -3.22846598  1.35031068  3.72446768]","[-2.48599786  7.88068069]","Convex"
"77","77","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53646284  2.40871304  4.42663064 -3.23102472  1.35041031  3.7124902 ]","[-2.48198464  7.86151985]","Convex"
"78","78","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54016386  2.40946368  4.40559425 -3.22882758  1.33635332  3.69191621]","[-2.47390334  7.83274761]","Convex"
"79","79","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53454634  2.4019904   4.40012924 -3.23075333  1.3303002   3.68637537]","[-2.47272933  7.82440868]","Convex"
"80","80","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53914352  2.45303545  4.4791313  -3.22448233  1.39247717  3.76448309]","[-2.50023901  7.94140854]","Convex"
"81","81","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53688992  2.43858649  4.49987297 -3.23004936  1.40551914  3.78461969]","[-2.50822703  7.96704829]","Convex"
"82","82","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53588821  2.42542811  4.47440183 -3.22825842  1.38599453  3.75914632]","[-2.49832299  7.92799256]","Convex"
"83","83","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53411071  2.41215824  4.48762977 -3.23389374  1.39355884  3.77242491]","[-2.50389779  7.94443632]","Convex"
