"","Pixel_Number","Log_Frequency","Log_Brightness_Temperature","Fit","Concave/Convex"
"1726","1726","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5983184   2.62970317  4.66858717 -3.07481877  1.55997048  3.94992376]","[-2.5239761   8.15657321]","Convex"
"1727","1727","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58587357  2.58181796  4.61076252 -3.1322543   1.51786493  3.8941916 ]","[-2.52010217  8.10112571]","Convex"
"1728","1728","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.62875274  2.64711733  4.60474118 -2.8598756   1.54367194  3.87386599]","[-2.43380696  7.94446086]","Convex"
"1729","1729","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61597545  2.6088013   4.57462741 -2.91836291  1.51812552  3.8460297 ]","[-2.44036274  7.92899465]","Convex"
"1730","1730","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.62236104  2.62901293  4.58335089 -2.91312779  1.5223492   3.85620417]","[-2.44260965  7.94388192]","Convex"
"1731","1731","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60955448  2.5902147   4.5879116  -2.98234445  1.50239102  3.86294439]","[-2.46433281  7.97768316]","Convex"
"1732","1732","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60554245  2.57016012  4.58376155 -2.9916087   1.50754124  3.86066474]","[-2.46505245  7.97374942]","Convex"
"1733","1733","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59136368  2.54189495  4.55557282 -3.0897389   1.48302831  3.83771272]","[-2.48533809  7.98942769]","Convex"
"1734","1734","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59563406  2.55174453  4.57103637 -3.06783647  1.48494329  3.84952874]","[-2.48377543  7.99631333]","Convex"
"1735","1735","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58198535  2.51378026  4.5334349  -3.14151504  1.45562578  3.8157131 ]","[-2.49264868  7.98126376]","Convex"
"1736","1736","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61214721  2.60382203  4.57459229 -2.98126857  1.50838631  3.85090145]","[-2.46009069  7.96651979]","Convex"
"1737","1737","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60068253  2.56893391  4.58085426 -3.05355592  1.49347582  3.85913434]","[-2.48335037  8.00597542]","Convex"
"1738","1738","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60015085  2.57538617  4.57859304 -3.06894729  1.49292732  3.85810031]","[-2.48781258  8.01513228]","Convex"
"1739","1739","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59098415  2.53850675  4.58158058 -3.10668745  1.48228659  3.86252412]","[-2.49911289  8.02943869]","Convex"
"1740","1740","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58961794  2.53776117  4.57892599 -3.10611413  1.48045304  3.85981064]","[-2.49811849  8.02544687]","Convex"
"1741","1741","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57865345  2.49597157  4.55379038 -3.1564769   1.4546769   3.83662249]","[-2.50352972  8.00970614]","Convex"
"1742","1742","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58110505  2.50889894  4.54485427 -3.13458234  1.46111389  3.82694474]","[-2.49424452  7.99021723]","Convex"
"1743","1743","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57262536  2.47184319  4.52655741 -3.16850441  1.43872885  3.81005957]","[-2.49703941  7.9745051 ]","Convex"
"1744","1744","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58120168  2.51806723  4.57185891 -3.14085733  1.47304819  3.85682594]","[-2.50637111  8.0331011 ]","Convex"
"1745","1745","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57225978  2.48686359  4.52744698 -3.16773343  1.44846318  3.8128289 ]","[-2.49826061  7.98242161]","Convex"
"1746","1746","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5731779   2.48072096  4.51327648 -3.16894054  1.43868401  3.79808355]","[-2.49324035  7.96210183]","Convex"
"1747","1747","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56452274  2.44810806  4.51407038 -3.18440505  1.41856805  3.79892582]","[-2.49720915  7.95968452]","Convex"
"1748","1748","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56459554  2.4549837   4.49807897 -3.18122995  1.42092009  3.78459128]","[-2.49133857  7.94174299]","Convex"
"1749","1749","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55689602  2.40956886  4.50167026 -3.18926708  1.4036833   3.7892282 ]","[-2.49328867  7.93502122]","Convex"
"1750","1750","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55803897  2.42075719  4.45976917 -3.19651117  1.38388605  3.74606898]","[-2.48148523  7.88830113]","Convex"
"1751","1751","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55217038  2.38327203  4.44811571 -3.19831008  1.36656188  3.73523658]","[-2.47654274  7.8615403 ]","Convex"
"1752","1752","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57002249  2.44791387  4.51900679 -3.18360918  1.43095489  3.8035236 ]","[-2.49795104  7.96624629]","Convex"
"1753","1753","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56041775  2.40757632  4.49945871 -3.19883859  1.40287546  3.78430357]","[-2.49451927  7.93549413]","Convex"
"1754","1754","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56587195  2.42095811  4.5074576  -3.19497527  1.42060271  3.7923994 ]","[-2.49625939  7.94935061]","Convex"
"1755","1755","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55854411  2.37571631  4.47755068 -3.20648367  1.38887501  3.76266104]","[-2.48759665  7.90135729]","Convex"
"1756","1756","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55182104  2.37996286  4.40645861 -3.20846665  1.352596    3.69260789]","[-2.4649341   7.81326742]","Convex"
"1757","1757","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54525014  2.34834423  4.4000206  -3.21307189  1.32417672  3.68664189]","[-2.46313738  7.79475054]","Convex"
"1758","1758","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55029299  2.34274459  4.41160516 -3.20946611  1.34140023  3.69696452]","[-2.46487471  7.80620963]","Convex"
"1759","1759","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5423206   2.30820008  4.37345848 -3.22173222  1.30165576  3.65922459]","[-2.45441562  7.75114287]","Convex"
"1760","1760","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59160486  2.55516658  4.57100534 -3.11878906  1.48768146  3.85223696]","[-2.50001576  8.0300257 ]","Convex"
"1761","1761","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58338114  2.51285908  4.55783253 -3.13958963  1.46712335  3.8402639 ]","[-2.50026227  8.01114818]","Convex"
"1762","1762","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5866331   2.54447509  4.58725846 -3.1313545   1.48825609  3.86952868]","[-2.50941203  8.05496236]","Convex"
"1763","1763","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5775305   2.49760369  4.54545892 -3.15624783  1.45742845  3.82839235]","[-2.50076507  8.00047932]","Convex"
"1764","1764","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57484825  2.47814244  4.5247664  -3.14822187  1.44282608  3.80782759]","[-2.49040253  7.96239819]","Convex"
"1765","1765","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56745053  2.44458955  4.50828344 -3.17296664  1.42512316  3.79138792]","[-2.49093746  7.94437512]","Convex"
"1766","1766","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57068002  2.46015939  4.51437011 -3.15845149  1.43470362  3.79832335]","[-2.48937314  7.94970654]","Convex"
"1767","1767","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5649262   2.43173484  4.51130017 -3.17440428  1.4211844   3.79454315]","[-2.49193541  7.94448871]","Convex"
"1768","1768","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58242773  2.54083769  4.57754248 -3.14297436  1.48620009  3.86094437]","[-2.50989828  8.04956551]","Convex"
"1769","1769","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5742035   2.49476366  4.54635166 -3.17426214  1.45894997  3.83079471]","[-2.50683519  8.01272704]","Convex"
"1770","1770","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57754536  2.53365284  4.57459489 -3.16621989  1.48495655  3.85964266]","[-2.51613549  8.05866574]","Convex"
"1771","1771","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57201318  2.49365074  4.56641611 -3.18606997  1.46509743  3.85242578]","[-2.51766485  8.04579149]","Convex"
"1772","1772","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56795653  2.45904715  4.5291773  -3.17635136  1.43860749  3.81443211]","[-2.50023675  7.97958295]","Convex"
"1773","1773","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56133966  2.42948081  4.508727   -3.17869308  1.41730024  3.79332231]","[-2.49278347  7.94368282]","Convex"
"1774","1774","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56564153  2.46383757  4.53512886 -3.18294185  1.44173281  3.82096956]","[-2.50486054  7.99328738]","Convex"
"1775","1775","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55724646  2.42901343  4.48831242 -3.18537953  1.40813869  3.77393602]","[-2.48831464  7.92225507]","Convex"
"1776","1776","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56160784  2.40242049  4.49975675 -3.19887407  1.40928437  3.78397916]","[-2.49403977  7.93466857]","Convex"
"1777","1777","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55581719  2.35792428  4.45829758 -3.20901574  1.37863726  3.7439202 ]","[-2.48101678  7.87270213]","Convex"
"1778","1778","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55794231  2.39596835  4.48970092 -3.19828321  1.39884486  3.77360168]","[-2.49039291  7.91863799]","Convex"
"1779","1779","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55150839  2.34997957  4.44952161 -3.21167767  1.36248091  3.73532468]","[-2.47889324  7.85921449]","Convex"
"1780","1780","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54874388  2.31634336  4.42602739 -3.21360825  1.3357022   3.71178769]","[-2.46977067  7.8172672 ]","Convex"
"1781","1781","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54121499  2.27635146  4.33549816 -3.22535131  1.27893162  3.62150644]","[-2.44071694  7.69372346]","Convex"
"1782","1782","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5450112   2.30190089  4.39128882 -3.21916038  1.31221629  3.67751499]","[-2.45914715  7.77081287]","Convex"
"1783","1783","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53849342  2.25758678  4.31152037 -3.22710876  1.25347147  3.59762192]","[-2.43229443  7.65615676]","Convex"
"1784","1784","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55318534  2.39209572  4.47106231 -3.1987262   1.38128045  3.75543726]","[-2.48453046  7.89311892]","Convex"
"1785","1785","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54636188  2.34308767  4.38827353 -3.21317594  1.32768661  3.67310754]","[-2.45835032  7.77820968]","Convex"
"1786","1786","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54953122  2.38708016  4.44389131 -3.19999995  1.36951059  3.72918534]","[-2.47577806  7.85828286]","Convex"
"1787","1787","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54313899  2.33835136  4.3857013  -3.21732829  1.31634995  3.67021518]","[-2.45879621  7.77452763]","Convex"
"1788","1788","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.54042449  2.28643558  4.33204463 -3.22191364  1.27273711  3.61752764]","[-2.43917279  7.68963756]","Convex"
"1789","1789","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53404963  2.23168569  4.29480663 -3.2371962   1.22893426  3.58081174]","[-2.42858545  7.6302855 ]","Convex"
"1790","1790","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.53574762  2.2749906   4.29911716 -3.23560096  1.24938439  3.58409603]","[-2.43174929  7.65079191]","Convex"
"1791","1791","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.52959607  2.20814446  4.26431371 -3.25334886  1.21028143  3.54994571]","[-2.42194981  7.5926754 ]","Convex"
"1792","1792","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55197613  2.23786516  4.25736826 -3.25754384  1.21587532  3.54467947]","[-2.42058804  7.59608502]","Convex"
"1793","1793","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55717038  2.22438334  4.29424521 -3.20427342  1.25756165  3.58297522]","[-2.41588941  7.61107997]","Convex"
"1794","1794","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55355777  2.20533464  4.26621689 -3.25395547  1.22062466  3.55322773]","[-2.42033175  7.5945626 ]","Convex"
"1795","1795","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55465498  2.19932227  4.29222382 -3.23321402  1.23718792  3.57875971]","[-2.42244052  7.61392679]","Convex"
"1796","1796","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57579103  2.2181421   4.42180064 -3.04297345  1.36279947  3.71738535]","[-2.40962308  7.68525172]","Convex"
"1797","1797","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58154469  2.2307166   4.42983664 -2.98525706  1.37372406  3.73023812]","[-2.39593506  7.6683318 ]","Convex"
"1798","1798","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55689145  2.21929663  4.3043094  -3.21058444  1.25643876  3.59153564]","[-2.42078022  7.62451947]","Convex"
"1799","1799","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55582761  2.2641897   4.26188623 -3.20854926  1.23863204  3.54895748]","[-2.40845858  7.58361607]","Convex"
"1800","1800","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55748024  2.17721883  4.3226098  -3.23589501  1.24406347  3.60902882]","[-2.4320727  7.6460783]","Convex"
"1801","1801","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55563749  2.19780371  4.27740748 -3.23253272  1.23434908  3.56302896]","[-2.4167885   7.59397739]","Convex"
"1802","1802","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56011896  2.18355267  4.32047512 -3.2155055   1.25622501  3.60656419]","[-2.42517984  7.63465969]","Convex"
"1803","1803","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.558366    2.23207657  4.32222722 -3.20575271  1.2573806   3.60812087]","[-2.42599541  7.64690358]","Convex"
"1804","1804","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55357566  2.24960936  4.29363523 -3.22857257  1.23467091  3.58003653]","[-2.4247564   7.62883429]","Convex"
"1805","1805","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55379133  2.30340058  4.28247567 -3.20927766  1.23495798  3.56819692]","[-2.41829218  7.62078602]","Convex"
"1806","1806","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55632261  2.29150321  4.29880635 -3.18858249  1.24663476  3.58472283]","[-2.41669443  7.62602311]","Convex"
"1807","1807","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55664449  2.33592822  4.30298445 -3.15096918  1.24399126  3.58954024]","[-2.40971131  7.62300571]","Convex"
"1808","1808","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56431052  2.26793489  4.2752986  -3.15465045  1.27336675  3.56215924]","[-2.39598036  7.57305003]","Convex"
"1809","1809","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56346915  2.31134524  4.33398649 -3.16682638  1.26659214  3.61433387]","[-2.42189113  7.66152046]","Convex"
"1810","1810","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.556856    2.30986351  4.27681931 -3.20681038  1.23781557  3.55994385]","[-2.4152671   7.61323105]","Convex"
"1811","1811","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56196932  2.34696857  4.33277341 -3.16355753  1.26764614  3.61207678]","[-2.42267232  7.66934139]","Convex"
"1812","1812","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56555737  2.35231291  4.36360325 -3.13937723  1.28311652  3.64300894]","[-2.42597645  7.69615579]","Convex"
"1813","1813","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56458222  2.39509139  4.34996157 -3.14253185  1.27622381  3.63058846]","[-2.42516678  7.6950406 ]","Convex"
"1814","1814","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56375516  2.38516462  4.3357955  -3.14924223  1.27854247  3.61539701]","[-2.42154754  7.67839651]","Convex"
"1815","1815","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56401447  2.42721095  4.30570478 -3.15418188  1.26992557  3.58763986]","[-2.41556936  7.65830594]","Convex"
"1816","1816","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5575446   2.34384071  4.32445483 -3.18415185  1.25697324  3.60724434]","[-2.42682139  7.67125722]","Convex"
"1817","1817","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56111807  2.37841215  4.34475422 -3.15796696  1.27753887  3.62500534]","[-2.42722695  7.69278381]","Convex"
"1818","1818","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56085427  2.37312246  4.30345416 -3.1283468   1.26756113  3.58846023]","[-2.4045061  7.6242332]","Convex"
"1819","1819","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56494118  2.41136568  4.36262814 -3.12838751  1.2982175   3.64456335]","[-2.42627235  7.71109458]","Convex"
"1820","1820","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56235664  2.41812195  4.34596619 -3.15697411  1.28774679  3.62644835]","[-2.42960813  7.70798839]","Convex"
"1821","1821","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56581497  2.46288171  4.36210857 -3.15114227  1.29862157  3.64472216]","[-2.43609444  7.74108143]","Convex"
"1822","1822","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56847908  2.45513254  4.38763185 -3.125121    1.32692413  3.66902144]","[-2.43596073  7.75725076]","Convex"
"1823","1823","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57595146  2.50355481  4.42545551 -3.1010345   1.36038688  3.70839259]","[-2.44402629  7.80958621]","Convex"
"1824","1824","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56008321  2.21455936  4.30990292 -3.19553225  1.26228227  3.59701771]","[-2.41753022  7.62130487]","Convex"
"1825","1825","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55863883  2.27232366  4.34874072 -3.17007339  1.26343615  3.63707502]","[-2.42728049  7.67313351]","Convex"
"1826","1826","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56142158  2.25535838  4.34776687 -3.17486195  1.27956742  3.63627444]","[-2.42691466  7.67143183]","Convex"
"1827","1827","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56063504  2.31551531  4.29246109 -3.12536498  1.26837622  3.58522769]","[-2.39740116  7.59474403]","Convex"
"1828","1828","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.55800074  2.3282095   4.27899848 -3.13123874  1.2464913   3.56849774]","[-2.39526445  7.58131482]","Convex"
"1829","1829","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56125426  2.36891692  4.26388495 -3.07535635  1.25279369  3.55606034]","[-2.37579412  7.54477626]","Convex"
"1830","1830","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5639372   2.36687969  4.26823083 -3.03589772  1.26695853  3.56673598]","[-2.3658876   7.53106904]","Convex"
"1831","1831","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57491475  2.4080343   4.32298786 -2.92848337  1.31407204  3.62814849]","[-2.35470225  7.55635802]","Convex"
"1832","1832","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.566197    2.30157387  4.38890838 -3.13777699  1.31472837  3.67941996]","[-2.43242328  7.7200628 ]","Convex"
"1833","1833","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.5701315   2.36092311  4.37086148 -3.03655648  1.32400749  3.66975321]","[-2.40025125  7.66238838]","Convex"
"1834","1834","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57026752  2.3502418   4.38268472 -3.08916971  1.32430302  3.67597108]","[-2.41861292  7.70172931]","Convex"
"1835","1835","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58060513  2.40385568  4.40556134 -2.94759786  1.36420472  3.71042204]","[-2.38775047  7.67350734]","Convex"
"1836","1836","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57716387  2.40725718  4.33536738 -2.91633856  1.33192998  3.64561465]","[-2.35566809  7.56904041]","Convex"
"1837","1837","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59383202  2.44744715  4.37486738 -2.77983928  1.38780645  3.6975116 ]","[-2.3306039   7.56191355]","Convex"
"1838","1838","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58959537  2.4451422   4.38379298 -2.84317413  1.38326996  3.6994853 ]","[-2.35197153  7.60580261]","Convex"
"1839","1839","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60455154  2.48378695  4.41521814 -2.77439629  1.42449861  3.73307226]","[-2.34309138  7.6212668 ]","Convex"
"1840","1840","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56903213  2.40781797  4.31435074 -3.02542337  1.29280898  3.60738521]","[-2.3797264   7.59453754]","Convex"
"1841","1841","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.57610955  2.45079688  4.35981648 -3.02435593  1.33615571  3.64776888]","[-2.39596405  7.66598713]","Convex"
"1842","1842","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58845596  2.45166441  4.36717072 -2.83619699  1.37167568  3.6783623 ]","[-2.34407115  7.5794981 ]","Convex"
"1843","1843","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60035897  2.50087101  4.43872485 -2.80462897  1.42274396  3.7449899 ]","[-2.36008952  7.66732327]","Convex"
"1844","1844","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.58203761  2.49835299  4.4380204  -3.05243932  1.38250083  3.72220523]","[-2.43287255  7.79747938]","Convex"
"1845","1845","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.59628283  2.54909872  4.51476818 -3.03338553  1.44629136  3.79746867]","[-2.45468675  7.90306692]","Convex"
"1846","1846","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60507543  2.55183348  4.48261848 -2.88371214  1.45372103  3.77495124]","[-2.39932853  7.78093053]","Convex"
"1847","1847","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.62442726  2.60741769  4.58158771 -2.9244525   1.51805134  3.86295771]","[-2.44515536  7.94534509]","Convex"
"1848","1848","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61725255  2.49640885  4.43766673 -2.65425136  1.46471673  3.77236637]","[-2.31651073  7.59474018]","Convex"
"1849","1849","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.64129646  2.55485541  4.51215695 -2.59023279  1.54150812  3.84099835]","[-2.32279247  7.67182529]","Convex"
"1850","1850","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.63764926  2.53665183  4.48479113 -2.66488587  1.51821794  3.8074029 ]","[-2.33419346  7.67076509]","Convex"
"1851","1851","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.70975447  2.61842764  4.64654006 -2.47000268  1.70843431  3.97477346]","[-2.32881166  7.80172808]","Convex"
"1852","1852","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.65270189  2.6168194   4.55088348 -2.62485634  1.57177343  3.85801139]","[-2.34578671  7.75123861]","Convex"
"1853","1853","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.67196087  2.67730168  4.58734202 -2.63200989  1.60501031  3.87678478]","[-2.3594579   7.81293469]","Convex"
"1854","1854","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.75190725  2.70956286  4.71025945 -2.32500205  1.80416644  4.04311217]","[-2.30866765  7.83471942]","Convex"
"1855","1855","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.74380885  2.75207033  4.6713076  -2.25418096  1.75939966  4.00974907]","[-2.27862809  7.75616126]","Convex"
"1856","1856","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.56656909  2.4398037   4.34725146 -3.09844523  1.2836593   3.62721232]","[-2.41340722  7.68041659]","Convex"
